,stature_cm,chestcircumference,waistcircumference,buttockcircumference,biacromialbreadth,shoulderelbowlength,sleevelengthspinewrist,wristcircumference,neckcircumference,thighcircumference,lowerthighcircumference,kneeheightsitting,calfcircumference,anklecircumference,crotchheight,hipbreadth,bicristalbreadth,bideltoidbreadth,waistbreadth,chestbreadth,chestdepth,waistdepth
stature_cm,1.0,0.22808677365209137,0.18685101542817914,0.3225604162295759,0.5231863441901038,0.8120303028957865,0.7652614086346808,0.47635411537287214,0.17768910473923183,0.23255009188784778,0.2802292354689375,0.8882013677578767,0.24421148530269904,0.3502843299949108,0.8556595867259204,0.3711676511250627,0.5010832716636986,0.29514482092567995,0.23070753467037997,0.33071492071282,0.2007483099806341,0.13420812399257795
chestcircumference,0.22808677365209137,1.0,0.8792320622655365,0.8278232416869059,0.4975479299609919,0.20012266188601804,0.44325567998753457,0.5824977058424111,0.7836290584308367,0.791928447787343,0.7409758303389954,0.2906161611768129,0.7112084683239126,0.5638510297065027,0.09973827640811435,0.7418703451600689,0.5578854291162634,0.8821666349013488,0.8563216564543904,0.7334697168331867,0.9196692727832217,0.8257321429572606
waistcircumference,0.18685101542817914,0.8792320622655365,1.0,0.8689802623356737,0.3607531533528959,0.14880338193353448,0.33743163886663574,0.5270203390728179,0.7353765514190799,0.8153838900939895,0.7572953992575131,0.243036847189429,0.689866472694951,0.5325130464997875,0.035131592783403144,0.8038122893285407,0.5944390213158882,0.7805590940164794,0.9552839148726888,0.6375867100605339,0.8413062595151319,0.9536876545666505
buttockcircumference,0.3225604162295759,0.8278232416869059,0.8689802623356737,1.0,0.4688619989861307,0.24079579373919527,0.4543300048144577,0.5967712557181124,0.6984090433485203,0.9390072603162555,0.8605959606652437,0.35650324052518234,0.7800330936700551,0.6605414977466485,0.16566084230307002,0.9262698659230737,0.6299147980533243,0.8049072352079437,0.868967993728625,0.62686034545267,0.7812148858089024,0.7983419329294232
biacromialbreadth,0.5231863441901038,0.4975479299609919,0.3607531533528959,0.4688619989861307,1.0,0.47221000650374034,0.6817523979441119,0.5180486532924216,0.4555922264550948,0.4237763613284644,0.4179868068551034,0.5187163868953865,0.42930829668063525,0.41807778857442174,0.42025082686246207,0.4556658354158042,0.44364490072729157,0.6856312889857716,0.38107638492377777,0.5639892670470432,0.3684004984976909,0.3092591242955105
shoulderelbowlength,0.8120303028957865,0.20012266188601804,0.14880338193353448,0.24079579373919527,0.47221000650374034,1.0,0.8223925454884261,0.4088317410474458,0.1572540705274194,0.15932177768340788,0.19584819118509791,0.8099631334359196,0.16664268574181107,0.23800603281962138,0.7961004174564977,0.2897934093183211,0.388800320655155,0.24450595632075398,0.1706752862237052,0.2616262542008745,0.18982522100765858,0.11522018091877977
sleevelengthspinewrist,0.7652614086346808,0.44325567998753457,0.33743163886663574,0.4543300048144577,0.6817523979441119,0.8223925454884261,1.0,0.5396923488203516,0.3596464621219522,0.38980355385988413,0.4063247011508338,0.7987311213250867,0.3835833695568182,0.41126471377568746,0.7459868079530935,0.45389473588313806,0.49311448112012707,0.5208092174321761,0.35529049272308716,0.4662019339381671,0.3881919165061861,0.29682556301752067
wristcircumference,0.47635411537287214,0.5824977058424111,0.5270203390728179,0.5967712557181124,0.5180486532924216,0.4088317410474458,0.5396923488203516,1.0,0.5800567617575902,0.544719711610037,0.6322552326146521,0.4921543689668223,0.6088840247672695,0.6590665264080463,0.32257249250667175,0.5630270690048967,0.479994458828968,0.6036600492245611,0.518905677530932,0.4975065447102948,0.5469515079608921,0.4931733384594023
neckcircumference,0.17768910473923183,0.7836290584308367,0.7353765514190799,0.6984090433485203,0.4555922264550948,0.1572540705274194,0.3596464621219522,0.5800567617575902,1.0,0.6709787645202981,0.6428646457796452,0.23963203876795858,0.6208726425429426,0.4938290866762439,0.06087090748065666,0.5898547051084069,0.44973332422292,0.7482222137505928,0.6826937726998277,0.5984953618113255,0.7280566854079303,0.7221918695707558
thighcircumference,0.23255009188784778,0.791928447787343,0.8153838900939895,0.9390072603162555,0.4237763613284644,0.15932177768340788,0.38980355385988413,0.544719711610037,0.6709787645202981,1.0,0.8712866169071122,0.2988912878839411,0.792659662387114,0.651622408432407,0.11683047283552137,0.8232277539655325,0.5215374237403797,0.7849325070447861,0.8102197591411537,0.5566966214374035,0.7525540615222984,0.7489935492593729
lowerthighcircumference,0.2802292354689375,0.7409758303389954,0.7572953992575131,0.8605959606652437,0.4179868068551034,0.19584819118509791,0.4063247011508338,0.6322552326146521,0.6428646457796452,0.8712866169071122,1.0,0.34740356063661554,0.8255148168367502,0.731996342678565,0.14083557929483506,0.7709457619416927,0.5427342388705354,0.7260080713651735,0.7488438464177447,0.5546283578170185,0.7095701089332088,0.7042307593086432
kneeheightsitting,0.8882013677578767,0.2906161611768129,0.243036847189429,0.35650324052518234,0.5187163868953865,0.8099631334359196,0.7987311213250867,0.4921543689668223,0.23963203876795858,0.2988912878839411,0.34740356063661554,1.0,0.2924547055055099,0.35999175865669325,0.9044844368284984,0.37303013372419175,0.4412691733630105,0.33971472578630985,0.2580022765213112,0.3072779345262869,0.2806566899772163,0.20613975537124307
calfcircumference,0.24421148530269904,0.7112084683239126,0.689866472694951,0.7800330936700551,0.42930829668063525,0.16664268574181107,0.3835833695568182,0.6088840247672695,0.6208726425429426,0.792659662387114,0.8255148168367502,0.2924547055055099,1.0,0.8043561664409076,0.11190103487576654,0.690919000738469,0.5042778893639406,0.7023976395073295,0.6881262910242437,0.5423961120192486,0.6743093305014698,0.6398385964566267
anklecircumference,0.3502843299949108,0.5638510297065027,0.5325130464997875,0.6605414977466485,0.41807778857442174,0.23800603281962138,0.41126471377568746,0.6590665264080463,0.4938290866762439,0.651622408432407,0.731996342678565,0.35999175865669325,0.8043561664409076,1.0,0.20518921570637702,0.6115444837193461,0.5071645096779434,0.5736494790451842,0.5608230370083715,0.4693648982651046,0.5268836355642911,0.46956714218885925
crotchheight,0.8556595867259204,0.09973827640811435,0.035131592783403144,0.16566084230307002,0.42025082686246207,0.7961004174564977,0.7459868079530935,0.32257249250667175,0.06087090748065666,0.11683047283552137,0.14083557929483506,0.9044844368284984,0.11190103487576654,0.20518921570637702,1.0,0.19150101736195776,0.32625176991049626,0.1604305377719051,0.058733969132679954,0.17283474373809501,0.09793033035975404,0.010286597322754942
hipbreadth,0.3711676511250627,0.7418703451600689,0.8038122893285407,0.9262698659230737,0.4556658354158042,0.2897934093183211,0.45389473588313806,0.5630270690048967,0.5898547051084069,0.8232277539655325,0.7709457619416927,0.37303013372419175,0.690919000738469,0.6115444837193461,0.19150101736195776,1.0,0.7012939559086325,0.7185817043574695,0.8403797366020322,0.6091177929795885,0.6898958377749755,0.7071413664915561
bicristalbreadth,0.5010832716636986,0.5578854291162634,0.5944390213158882,0.6299147980533243,0.44364490072729157,0.388800320655155,0.49311448112012707,0.479994458828968,0.44973332422292,0.5215374237403797,0.5427342388705354,0.4412691733630105,0.5042778893639406,0.5071645096779434,0.32625176991049626,0.7012939559086325,1.0,0.5412012260840356,0.6833187181419264,0.5618325947009402,0.520726448505462,0.4872973669166939
bideltoidbreadth,0.29514482092567995,0.8821666349013488,0.7805590940164794,0.8049072352079437,0.6856312889857716,0.24450595632075398,0.5208092174321761,0.6036600492245611,0.7482222137505928,0.7849325070447861,0.7260080713651735,0.33971472578630985,0.7023976395073295,0.5736494790451842,0.1604305377719051,0.7185817043574695,0.5412012260840356,1.0,0.7701639450086234,0.7589849008775766,0.7563383177925757,0.7211983109397537
waistbreadth,0.23070753467037997,0.8563216564543904,0.9552839148726888,0.868967993728625,0.38107638492377777,0.1706752862237052,0.35529049272308716,0.518905677530932,0.6826937726998277,0.8102197591411537,0.7488438464177447,0.2580022765213112,0.6881262910242437,0.5608230370083715,0.058733969132679954,0.8403797366020322,0.6833187181419264,0.7701639450086234,1.0,0.6642267782530448,0.8089079880453723,0.8602102482015642
chestbreadth,0.33071492071282,0.7334697168331867,0.6375867100605339,0.62686034545267,0.5639892670470432,0.2616262542008745,0.4662019339381671,0.4975065447102948,0.5984953618113255,0.5566966214374035,0.5546283578170185,0.3072779345262869,0.5423961120192486,0.4693648982651046,0.17283474373809501,0.6091177929795885,0.5618325947009402,0.7589849008775766,0.6642267782530448,1.0,0.5525892116266578,0.5656482364571017
chestdepth,0.2007483099806341,0.9196692727832217,0.8413062595151319,0.7812148858089024,0.3684004984976909,0.18982522100765858,0.3881919165061861,0.5469515079608921,0.7280566854079303,0.7525540615222984,0.7095701089332088,0.2806566899772163,0.6743093305014698,0.5268836355642911,0.09793033035975404,0.6898958377749755,0.520726448505462,0.7563383177925757,0.8089079880453723,0.5525892116266578,1.0,0.8079681810883639
waistdepth,0.13420812399257795,0.8257321429572606,0.9536876545666505,0.7983419329294232,0.3092591242955105,0.11522018091877977,0.29682556301752067,0.4931733384594023,0.7221918695707558,0.7489935492593729,0.7042307593086432,0.20613975537124307,0.6398385964566267,0.46956714218885925,0.010286597322754942,0.7071413664915561,0.4872973669166939,0.7211983109397537,0.8602102482015642,0.5656482364571017,0.8079681810883639,1.0
